time,x1,x2,x3,parent_symbol,projected_symbol
38832,-0.562151,0.198712,4.210117,1010,2
38833,-0.505243,0.233371,4.173456,1010,2
38834,-0.447231,0.267516,4.130630,1010,2
38835,-0.390079,0.301234,4.081868,1010,2
38836,-0.334862,0.334693,4.027776,1010,2
38837,-0.281229,0.367988,3.968903,1010,2
38838,-0.227871,0.401067,3.905425,1010,2
38839,-0.173541,0.433757,3.837113,1010,2
38840,-0.117875,0.465865,3.763583,1010,2
38841,-0.061525,0.497279,3.684609,1010,2
38842,-0.005616,0.527999,3.600296,1010,2
38843,0.049022,0.558089,3.511021,1010,2
38844,0.102317,0.587603,3.417209,1010,2
38845,0.154860,0.616518,3.319120,1010,2
38846,0.207394,0.644737,3.216775,1010,2
38847,0.260278,0.672133,3.110054,1010,2
38848,0.313286,0.698610,2.998878,1010,2
38849,0.365802,0.724136,2.883332,1010,2
38850,0.417242,0.748728,2.763680,1010,2
38851,0.467396,0.772409,2.640260,754,2
38852,0.516419,0.795170,2.513352,754,2
38853,0.563975,0.816927,2.383182,754,2
38854,0.610540,0.837719,2.249923,754,2
38855,0.656737,0.857492,2.113667,754,2
38856,0.702876,0.876132,1.974411,754,2
38857,0.748766,0.893552,1.832184,738,2
38858,0.793902,0.909728,1.687151,738,2
38859,0.837835,0.924891,1.539645,738,2
38860,0.880871,0.938964,1.390023,738,2
38861,0.923345,0.951898,1.238514,738,2
38862,0.965481,0.963639,1.085249,738,2
38863,1.007274,0.974145,0.930324,738,2
38864,1.048531,0.983399,0.773872,738,2
38865,1.088993,0.991399,0.616092,738,2
38866,1.128456,0.998146,0.457232,738,2
38867,1.166815,1.003641,0.297542,738,2
38868,1.204042,1.007877,0.137247,738,2
38869,1.240131,1.010847,-0.023462,738,2
